         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1148    0.002    0.000    0.058    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:1514(iterrows)
        1    0.004    0.004    0.058    0.058 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:24(get_membership_statistics)
1176/1163    0.007    0.000    0.056    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/series.py:392(__init__)
        1    0.000    0.000    0.055    0.055 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/groupby/__init__.py:1(<module>)
        1    0.000    0.000    0.055    0.055 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/groupby/generic.py:1(<module>)
        3    0.034    0.011    0.054    0.018 /home/gavin/Documents/MAY/june_zero/may/population/population.py:277(get_people_by_activity)
     1361    0.006    0.000    0.053    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
       10    0.000    0.000    0.053    0.005 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/__init__.py:707(__getattr__)
        1    0.000    0.000    0.052    0.052 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/array_api_compat/numpy/__init__.py:1(<module>)
        1    0.000    0.000    0.051    0.051 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/config.py:1(<module>)
      110    0.001    0.000    0.051    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:1863(__init__)
   123251    0.043    0.000    0.051    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:3784(get_loc)
     2622    0.002    0.000    0.050    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/__init__.py:330(_compile)
1332/1323    0.002    0.000    0.050    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
   507897    0.050    0.000    0.050    0.000 {method 'append' of 'list' objects}
    36443    0.020    0.000    0.048    0.000 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:18(get_num_members)
      433    0.000    0.000    0.047    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/__init__.py:287(compile)
    60623    0.018    0.000    0.047    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/missing.py:380(notna)
        1    0.000    0.000    0.047    0.047 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:1(<module>)
      169    0.001    0.000    0.046    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_compiler.py:743(compile)
        1    0.000    0.000    0.046    0.046 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/linalg/__init__.py:1(<module>)
       63    0.001    0.000    0.046    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_axis_nan_policy.py:418(axis_nan_policy_decorator)
        1    0.000    0.000    0.044    0.044 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/decorators.py:1(<module>)
        1    0.000    0.000    0.044    0.044 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/stencils/stencil.py:1(<module>)
    94442    0.029    0.000    0.044    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/random.py:245(_randbelow_with_getrandbits)
        1    0.000    0.000    0.043    0.043 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/__init__.py:1(<module>)
       64    0.000    0.000    0.043    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_array_api.py:806(decorator)
     1354    0.001    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
   123319    0.024    0.000    0.039    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/series.py:834(_values)
     1354    0.002    0.000    0.039    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
     1230    0.003    0.000    0.038    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:201(_read_to_next_section)
   382754    0.037    0.000    0.038    0.000 {method 'get' of 'dict' objects}
     1262    0.002    0.000    0.037    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:212(_read_sections)
     2618    0.007    0.000    0.037    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/textwrap.py:419(dedent)
       68    0.000    0.000    0.035    0.001 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_util.py:1202(decorator)
        1    0.000    0.000    0.035    0.035 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/__init__.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/f2py2e.py:1(<module>)
   355488    0.034    0.000    0.034    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.034    0.034 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/__init__.py:1(<module>)
    36468    0.022    0.000    0.034    0.000 /home/gavin/Documents/MAY/june_zero/may/geography/venue_manager.py:38(add_venue)
        1    0.000    0.000    0.034    0.034 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/registry.py:1(<module>)
        1    0.000    0.000    0.034    0.034 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/dispatcher.py:1(<module>)
     1572    0.008    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
   108170    0.023    0.000    0.033    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:1498(debug)
   415207    0.033    0.000    0.033    0.000 /home/gavin/Documents/MAY/june_zero/may/population/person.py:88(has_activity)
  178/175    0.000    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1319(create_module)
        1    0.000    0.000    0.032    0.032 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/misc/special.py:1(<module>)
        1    0.000    0.000    0.032    0.032 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/compiler.py:1(<module>)
  178/175    0.030    0.000    0.032    0.000 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.032    0.032 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/__init__.py:1(<module>)
        1    0.000    0.000    0.032    0.032 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/context.py:1(<module>)
      430    0.006    0.000    0.031    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/doccer.py:29(docformat)
        1    0.000    0.000    0.031    0.031 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/__config__.py:1(<module>)
        1    0.000    0.000    0.031    0.031 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:1(<module>)
    95013    0.019    0.000    0.031    0.000 /home/gavin/Documents/MAY/june_zero/may/population/subset.py:151(add_member)
        1    0.000    0.000    0.030    0.030 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/__init__.py:1(<module>)
        1    0.000    0.000    0.030    0.030 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/__init__.py:1(<module>)
        1    0.000    0.000    0.029    0.029 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/capi_maps.py:1(<module>)
      131    0.001    0.000    0.029    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:830(_construct_doc)
      451    0.003    0.000    0.029    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_docscrape.py:224(_parse_param_list)
        1    0.000    0.000    0.026    0.026 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/spatial/_geometric_slerp.py:1(<module>)
   267087    0.026    0.000    0.026    0.000 {method 'strip' of 'str' objects}
   324567    0.026    0.000    0.026    0.000 /home/gavin/Documents/MAY/june_zero/world_specific_code/student_dorms/student_dorm_subset_distributor.py:18(person_in_age_range)
        1    0.000    0.000    0.026    0.026 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/spatial/distance.py:1(<module>)
    60636    0.012    0.000    0.025    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/missing.py:101(isna)
   123252    0.018    0.000    0.025    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/common.py:372(apply_if_callable)
     1284    0.002    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
        1    0.000    0.000    0.025    0.025 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/crackfortran.py:1(<module>)
      169    0.000    0.000    0.025    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:970(parse)
      662    0.000    0.000    0.024    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:3382(signature)
        1    0.003    0.003    0.024    0.024 /home/gavin/Documents/MAY/june_zero/may/geography/geography.py:67(load_from_csv)
