         16595716 function calls (16555956 primitive calls) in 4.772 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/utils.py:452(inner)
       33    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/dataclasses.py:429(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/datamodel/registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/tz/tz.py:482(_set_tzdata)
        2    0.000    0.000    0.000    0.000 <frozen os>:726(__delitem__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:3040(_sample_inverse_transform)
       17    0.000    0.000    0.000    0.000 {built-in method _operator.index}
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/ffi.py:260(__init__)
      112    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:574(__int__)
        4    0.000    0.000    0.000    0.000 {built-in method posix.urandom}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/integrate/_ode.py:600(complex_ode)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/misc/init_utils.py:10(generate_version_info)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/_exceptions.py:16(_display_as_base)
       21    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/constants/_codata.py:2127(value)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/caching.py:533(IndexDataCacheFile)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/array_algos/replace.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/builtins.py:168(BinOp)
       19    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/argparse.py:1413(_registry_get)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/base.py:501(Registry)
       33    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/dataclasses.py:412(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/utils.py:735(__init__)
        2    0.000    0.000    0.000    0.000 <frozen os>:720(__setitem__)
       18    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_stats_py.py:116(_chk_asarray)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/defchararray.py:416(chararray)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/pytables.py:2386(DataCol)
       62    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pytz/lazy.py:96(lazy)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/tempfile.py:686(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/array_algos/putmask.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:820(__init__)
       11    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:2035(_preserve_type)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/zipfile/_path/__init__.py:101(CompleteDirs)
       15    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/dtypes.py:342(construct_from_string)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/linalg/_isolve/minres.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/csgraph/_laplacian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/module.py:47(ModuleRef)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/numbers.py:328(Integral)
       42    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/common.py:123(classes)
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/algorithms.py:184(_reconstruct_data)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/polynomial/polynomial.py:1548(Polynomial)
       29    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/getlimits.py:709(min)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:415(_check_int_address)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/interpolate/_rgi.py:56(RegularGridInterpolator)
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:292(__subclasshook__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/func2subr.py:1(<module>)
       32    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraypad_impl.py:32(_slice_at_axis)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/integrate/_ivp/rk.py:183(RK23)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/_dok.py:17(_dok_base)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/glob.py:527(_StringGlobber)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:2503(_strip_annotations)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/_internal.py:253(_missing_ctypes)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pathlib/_local.py:237(_format_parsed_parts)
        1    0.000    0.000    0.000    0.000 {built-in method time.gmtime}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/util/numba_.py:1(<module>)
       21    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_array_api.py:131(array_namespace)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/tseries/offsets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/charset_normalizer/models.py:13(CharsetMatch)
       28    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/types/scalars.py:25(parse_integer_signed)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/frame.py:663(_constructor_from_mgr)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/spss.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/colorama/win32.py:1(<module>)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/utils.py:445(__setitem__)
       20    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:534(isbuiltin)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/base_parser.py:902(_check_data_length)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_polynomial_impl.py:1093(poly1d)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/common.py:574(condition)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexers/utils.py:1(<module>)
        7    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/ma/core.py:2615(_arraymethod)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/zoneinfo/_tzpath.py:43(_parse_python_tzpath)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/unittest/case.py:45(_Outcome)
        1    0.000    0.000    0.000    0.000 {built-in method uarray._uarray.set_global_backend}
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/base_parser.py:1440(_validate_parse_dates_arg)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1832(tol)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/util/_print_versions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/base.py:65(DataManager)
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_new_distributions.py:394(_pmf_formula)
       49    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/blocks.py:744(dtype)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/zipfile/__init__.py:1302(ZipFile)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/formats/format.py:415(DataFrameFormatter)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/zipfile/_path/__init__.py:204(Path)
       15    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/auxfuncs.py:792(gentitle)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/cpu_options.py:25(__init__)
       11    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/arrays/_ranges.py:1(<module>)
       40    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:3004(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/tz/tz.py:328(_ttinfo)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/sql.py:2101(ADBCDatabase)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/_cobyla_py.py:1(<module>)
       44    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/compiler_machinery.py:40(name)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_typing/_nbit_base.py:57(__init_subclass__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/threading.py:620(set)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/apply.py:1134(FrameRowApply)
       12    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/templates.py:1253(register_attr)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/ndimage/_delegators.py:1(<module>)
       29    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/generic.py:575(_get_axis_number)
        7    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/managers.py:977(fast_xs)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/fileinput.py:171(FileInput)
      134    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/six.py:93(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_levy_stable/__init__.py:638(levy_stable_gen)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/base.py:43(ExtensionDtype)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/inspect.py:1443(repl)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pickle.py:404(_Pickler)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/array_algos/masked_reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/strings/object_array.py:37(ObjectStringArrayMixin)
        1    0.000    0.000    0.000    0.000 {built-in method numba._dispatcher.typeof_init}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/blocks.py:166(maybe_split)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/excel/_base.py:927(ExcelWriter)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/base.py:1248(_initialize_llvm_lock_event)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:3523(ndim)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/importlib/metadata/_functools.py:89(pass_none)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/indexes/base.py:264(_maybe_return_indexers)
        3    0.000    0.000    0.000    0.000 {built-in method posix.uname}
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/inference.py:300(<genexpr>)
       34    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/ops/invalid.py:44(make_invalid_op)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/caching.py:659(Cache)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/threading.py:858(Thread)
        3    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/imputils.py:55(decorate)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/polynomial/hermite.py:1697(Hermite)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:1621(_BaseV6)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/pytables.py:2047(IndexCol)
       64    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/re/_parser.py:165(__delitem__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/f2py/symbolic.py:157(Expr)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/relativedelta.py:18(relativedelta)
       19    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:1308(append)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/platform.py:926(uname_result)
        8    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/weakref.py:414(__getitem__)
       16    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraypad_impl.py:57(_view_roi)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_new_distributions.py:165(_icdf_formula)
       34    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/typing.py:2204(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_quantile.py:1(<module>)
        3    0.000    0.000    0.000    0.000 <frozen os>:1127(__subclasshook__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/_typing.py:122(SequenceNotStr)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:1692(reset_cache)
       32    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_arraypad_impl.py:108(<genexpr>)
       85    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/_compat_pickle.py:166(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/polynomial/hermite_e.py:1599(HermiteE)
       46    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/blocks.py:268(mgr_locs)
       54    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/types/abstract.py:118(__str__)
       36    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/cast.py:1490(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distn_infrastructure.py:677(rv_generic)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/config.py:25(_has_svml)
       16    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/doccer.py:82(inherit_docstring_from)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/types/misc.py:124(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/errors.py:473(WarningsFixer)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/computation/align.py:68(_filter_special_cases)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/tz/tz.py:381(__init__)
        6    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/event.py:209(broadcast)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/arrays/datetimelike.py:1760(DatelikeOps)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/linalg/_isolve/_gcrotmk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pathlib/_local.py:140(joinpath)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/ir/instructions.py:67(CallInstr)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.generic' objects}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/_data.py:20(_data_matrix)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/excel/_odswriter.py:31(ODSWriter)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/weakref.py:164(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/dateutil/parser/__init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/lib/_index_tricks_impl.py:326(AxisConcatenator)
       42    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/experimental/jitclass/overloads.py:18(class_instance_overload)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/_strptime.py:147(__calc_alt_digits)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/ipaddress.py:431(_ip_int_from_prefix)
       26    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/common.py:531(is_string_or_object_np_dtype)
       22    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/_type_aliases.py:118(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/compiler_machinery.py:31(CompilerPass)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/llvmlite/binding/newpassmanagers.py:490(PipelineTuningOptions)
       18    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/pathlib/_abc.py:101(PurePathBase)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/internals/array_manager.py:101(BaseArrayManager)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/extending.py:1(<module>)
       39    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/base_parser.py:1461(is_index_col)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_distribution_infrastructure.py:5028(Mixture)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/optimize/_trustregion_constr/canonical_constraint.py:5(CanonicalConstraint)
       29    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/_dtype.py:23(_kind_name)
       13    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup_error}
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/target_extension.py:15(__getitem__)
       15    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/util/_validators.py:226(validate_bool_kwarg)
        1    0.000    0.000    0.000    0.000 /home/gavin/Documents/MAY/june_zero/may/population/subset.py:3(Subset)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/window/common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/gavin/Documents/MAY/june_zero/may/stats/stats_venues.py:14(__init__)
       44    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/functools.py:1001(__set_name__)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/array_api_compat/common/_helpers.py:75(_is_jax_zero_gradient_array)
       42    0.000    0.000    0.000    0.000 <frozen codecs>:334(getstate)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/six.py:96(__get__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/core/typing/npydecl.py:163(NumpyRulesArrayOperator)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/stats/_continuous_distns.py:4984(invgauss_gen)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/dtypes.py:1610(SparseDtype)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1103(_resolve_filename)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numba/np/ufunc/ufuncbuilder.py:345(GUFuncBuilder)
        2    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/array_api_compat/common/_helpers.py:305(_compat_module_name)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/zipfile/__init__.py:374(ZipInfo)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/glob.py:331(_Globber)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/core/dtypes/api.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/argparse.py:803(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/sparse/linalg/_isolve/lsqr.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/logging/__init__.py:899(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/sql.py:2632(SQLiteDatabase)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/getlimits.py:385(finfo)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/numpy/_core/strings.py:77(_override___module__)
       33    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/yaml/tokens.py:3(__init__)
       13    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/pandas/io/parsers/readers.py:2056(_clean_na_values)
       21    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/_lib/_testutils.py:86(__init__)
        1    0.000    0.000    0.000    0.000 /home/gavin/.conda/envs/claude/lib/python3.13/site-packages/scipy/interpolate/_pade.py:1(<module>)
