MBD_Temp_ID,Latitude,Longitude
TEMP000266,52.4308,1.1233758
TEMP000267,52.6780035,1.2248602
TEMP000268,52.447649,1.4214562
TEMP000269,52.9437011,1.0391521
TEMP000270,52.4643197,0.9706766
TEMP000271,52.7545504,0.9444449
TEMP000272,52.6439611,0.1993121
TEMP000273,52.7098678,1.210914
TEMP000274,52.6221217,0.5276621
TEMP000275,52.4993788,1.1899739
TEMP000276,52.6517298,0.4436736
TEMP000277,52.5602011,0.6038424
TEMP000278,52.7842973,1.0131936
TEMP000279,52.6823222,0.8078556
TEMP000280,52.8832143,0.5777096
TEMP000281,52.7513091,1.091427
TEMP000282,52.3929473,0.911491
TEMP000283,52.8816998,0.8564355
TEMP000284,52.7359942,0.5831904
TEMP000285,52.476111,1.5238089
TEMP000286,52.87824,1.3972707
TEMP000287,52.7357011,0.8057494
TEMP000288,52.3958799,1.2854043
TEMP000289,52.4636302,1.2695291
TEMP000290,52.5357675,1.5138317
TEMP000291,52.8036974,0.7711592
TEMP000292,52.8262834,0.8424015
TEMP000293,52.5581255,1.2012921
TEMP000294,52.5681265,0.691377
TEMP000295,52.4820687,0.8689379
TEMP000296,52.8196049,1.2528418
TEMP000297,52.6324667,0.7869576
TEMP000298,52.9616956,0.5415097
TEMP000299,52.8152744,0.6977093
TEMP000300,52.6076786,1.2965089
TEMP000301,52.6159354,1.5322809
TEMP000302,52.7511925,0.2940915
TEMP000303,52.7380278,0.3964515
TEMP000304,52.6581544,0.5238738
TEMP000305,52.7084546,1.6328203
TEMP000306,52.8460488,1.0249037
TEMP000307,52.6171881,1.179013
TEMP000308,52.7451966,0.4459346
TEMP000309,52.6329799,1.3013963
TEMP000310,52.7121892,1.416927
TEMP000311,52.5169319,1.0184134
TEMP000312,52.6049828,1.545955
TEMP000313,52.472197,1.1862219
TEMP000314,52.5134078,0.6504097
TEMP000315,52.9488204,0.5124804
TEMP000316,52.6931733,0.6087881
TEMP000317,52.7244892,1.4702577
TEMP000318,52.94806,0.9382246
TEMP000319,52.5338148,1.5490768
TEMP000320,52.8278024,1.1967158
TEMP000321,52.9187663,1.3320074
TEMP000322,52.7914571,0.8326983
TEMP000323,52.7849561,1.6021227
TEMP000324,52.9520229,0.7695636
TEMP000325,52.6281732,0.754838
TEMP000326,52.5657196,1.3494463
TEMP000327,52.6687776,1.4704297
TEMP000328,52.7943775,0.785433
TEMP000329,52.7927838,0.7764287
TEMP000330,52.6955965,1.5829281
TEMP000331,52.5412477,1.2985649
TEMP000332,52.8843231,0.7689612
TEMP000333,52.715743,0.4354035
TEMP000334,52.9109655,0.9818949
TEMP000335,52.6610959,0.6421834
TEMP000336,52.6961684,0.4199917
TEMP000337,52.4059645,1.0883478
TEMP000338,52.4726427,1.268729
TEMP000339,52.5456623,1.3014087
TEMP000340,52.651715,0.4850794
TEMP000341,52.4970309,0.9212963
TEMP000342,52.5348029,1.4547601
TEMP000343,52.8796594,0.5114051
TEMP000344,52.8727927,0.8900315
TEMP000345,52.7171678,1.6634704
TEMP000346,52.9154749,0.5977716
TEMP000347,52.7697286,1.5264988
TEMP000348,52.8329413,1.31355
TEMP000349,52.6657633,1.4976258
TEMP000350,52.6481712,0.6903842
TEMP000351,52.5151617,1.1664093
TEMP000352,52.5175695,1.2539409
TEMP000353,52.5664222,0.7794886
