geo_unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
E00004759,2,4,0,2,3,1,0,4,2,2,2,5,2,2,1,1,3,2,1,3,2,4,2,1,1,1,4,2,1,0,2,4,2,1,1,2,5,3,2,1,2,5,2,1,1,1,3,2,1,0,1,3,1,0,0,1,4,2,0,1,2,4,2,0,1,0,1,3,0,1,2,4,2,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004760,1,3,0,2,3,1,0,2,1,2,1,4,1,1,1,0,2,1,1,3,1,4,1,1,1,1,3,2,1,0,1,4,1,0,1,1,3,1,1,0,0,3,1,0,0,1,4,2,1,0,0,2,0,0,0,1,3,1,0,1,1,3,2,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004761,1,3,0,2,3,1,0,2,2,2,1,3,1,1,1,1,3,2,1,1,0,3,1,0,0,0,2,0,0,0,1,3,1,0,1,1,2,1,0,0,0,2,1,0,0,1,4,2,1,0,1,3,1,0,0,1,3,1,0,0,0,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004762,0,2,0,2,2,1,0,2,4,4,1,4,1,1,1,1,2,1,2,4,7,12,7,7,6,1,4,2,2,1,1,4,1,0,1,2,5,2,2,1,1,3,1,1,0,0,2,1,0,0,1,3,2,1,0,1,3,1,0,1,1,3,1,0,0,1,1,4,0,1,2,5,2,1,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
E00004763,0,0,0,1,1,1,0,4,1,1,1,4,2,1,1,1,2,1,1,1,1,3,1,0,0,0,2,0,0,0,2,5,2,1,2,1,3,1,0,0,2,4,2,1,1,1,4,2,1,0,2,4,2,1,1,1,3,1,0,0,0,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004764,0,1,0,0,1,1,0,2,1,1,1,4,1,1,1,1,3,2,1,3,4,8,4,3,3,1,4,2,2,1,1,4,2,0,1,1,3,1,1,0,1,3,1,0,0,1,3,1,1,0,1,4,2,1,0,2,5,2,1,2,1,3,1,0,0,0,1,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00004765,1,2,0,1,1,2,0,4,0,1,1,3,1,1,1,1,2,2,2,3,3,6,3,2,1,1,3,2,1,0,1,4,2,1,1,2,4,2,1,1,1,4,2,1,1,1,4,2,1,0,1,4,2,1,1,1,3,2,0,1,1,2,1,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00009906,3,2,5,3,3,1,0,4,4,4,2,6,3,2,1,3,0,1,2,1,0,2,1,1,0,1,4,2,2,1,3,6,3,2,2,2,4,2,1,1,3,7,4,2,2,2,5,2,1,1,3,6,3,1,2,2,4,2,1,1,2,5,2,1,2,3,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,3,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
E00009909,2,0,4,2,3,2,1,4,2,3,2,5,3,2,1,0,3,4,5,3,1,4,2,1,1,3,7,4,4,3,5,11,6,4,5,7,12,7,5,5,4,8,4,2,3,7,13,8,6,6,3,6,3,2,2,6,10,6,4,5,1,4,2,0,1,0,1,2,0,1,1,2,1,0,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00009910,1,0,4,3,5,1,0,3,3,4,2,4,2,2,1,4,1,2,3,2,1,4,2,2,2,5,9,6,5,5,4,8,4,3,3,4,8,4,3,3,4,9,5,3,3,2,6,3,2,1,3,6,3,2,2,2,5,3,1,2,2,5,2,1,2,1,0,2,0,1,1,3,1,0,0,1,3,1,0,0,1,3,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
